chave_orcamento,cliente,vendedor,data_orcamento_dt,data_pedido_dt,data_faturamento_dt,teve_revisao,qtd_revisoes,ultima_revisao,status_atual,valor_total,primeira_aparicao_dt,ultima_atualizacao_dt
5535,,,2026-01-09,,,False,0,0,ORCAMENTO,6920.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5601,MERITOR DO BRASIL,MARILENE,2026-01-05,,,True,1,1,ORCAMENTO,8420.0,2026-01-15 18:00:08,2026-01-15 18:00:08
1,VEDAFORT,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,2360.0,2026-01-15 18:00:08,2026-01-15 18:00:08
2,M DA LUZ -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,2360.0,2026-01-15 18:00:08,2026-01-15 18:00:08
3,PIRACANJUBA,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,500.0,2026-01-15 18:00:08,2026-01-15 18:00:08
6,TSM TECNOLOGIA -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,1772.0,2026-01-15 18:00:08,2026-01-15 18:00:08
9,FRANIK -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,1212.0,2026-01-15 18:00:08,2026-01-15 18:00:08
10,FALCARE,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,3842.0,2026-01-15 18:00:08,2026-01-15 18:00:08
12,SLG COMERCIO -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,4543.0,2026-01-15 18:00:08,2026-01-15 18:00:08
13,CBV,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1065.6,2026-01-15 18:00:08,2026-01-15 18:00:08
14,SLG COMERCIO -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,6248.0,2026-01-15 18:00:08,2026-01-15 18:00:08
15,ACEPIL,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,2820.0,2026-01-15 18:00:08,2026-01-15 18:00:08
16,ALCONEX,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,2077.74,2026-01-15 18:00:08,2026-01-15 18:00:08
18,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,2820.0,2026-01-15 18:00:08,2026-01-15 18:00:08
19,INDUMAX,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,3760.0,2026-01-15 18:00:08,2026-01-15 18:00:08
20,DINAMICA,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,863.0,2026-01-15 18:00:08,2026-01-15 18:00:08
24,ESPECULAÇO,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,12616.0,2026-01-15 18:00:08,2026-01-15 18:00:08
26,CONEFLANGE,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,5310.0,2026-01-15 18:00:08,2026-01-15 18:00:08
27,CONDUMAX,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,1007.0,2026-01-15 18:00:08,2026-01-15 18:00:08
29,AMPLITHERM -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,5133.0,2026-01-15 18:00:08,2026-01-15 18:00:08
30,HITECH,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1304.8,2026-01-15 18:00:08,2026-01-15 18:00:08
32,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1137.6,2026-01-15 18:00:08,2026-01-15 18:00:08
33,CIRMONT,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,668.0,2026-01-15 18:00:08,2026-01-15 18:00:08
35,BVI,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,36076.0,2026-01-15 18:00:08,2026-01-15 18:00:08
36,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1119.6,2026-01-15 18:00:08,2026-01-15 18:00:08
37,TOPFLOW,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,538.85,2026-01-15 18:00:08,2026-01-15 18:00:08
38,PETROBRAS,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,14624.0,2026-01-15 18:00:08,2026-01-15 18:00:08
40,CONEVAS,MARILENE,2026-01-05,,,True,1,1,ORCAMENTO,838.0,2026-01-15 18:00:08,2026-01-15 18:00:08
41,MAKE,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,1910.0,2026-01-15 18:00:08,2026-01-15 18:00:08
42,CBV,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2100.6,2026-01-15 18:00:08,2026-01-15 18:00:08
43,PS COMBUSTÃO,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,1353.0,2026-01-15 18:00:08,2026-01-15 18:00:08
44,AUTOVAL,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2180.0,2026-01-15 18:00:08,2026-01-15 18:00:08
46,ACEPIL,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,11976.0,2026-01-15 18:00:08,2026-01-15 18:00:08
49,ENERG,MARILENE,2026-01-06,2026-01-19,2026-01-19,True,1,1,FATURADO,7368.0,2026-01-15 18:00:08,2026-01-21 16:59:32
51,PS COMBUSTÃO,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,2142.0,2026-01-15 18:00:08,2026-01-15 18:00:08
52,ACEPIL,ROMULO,2026-01-06,,,False,0,0,ORCAMENTO,482.0,2026-01-15 18:00:08,2026-01-15 18:00:08
53,ACEPIL,CARLA,2026-01-06,2026-01-21,2026-01-21,False,0,0,FATURADO,607.8,2026-01-15 18:00:08,2026-01-21 16:59:32
54,BETAWORKS,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2730.0,2026-01-15 18:00:08,2026-01-15 18:00:08
56,ACEPIL,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,960.0,2026-01-15 18:00:08,2026-01-15 18:00:08
57,MECA,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,3760.0,2026-01-15 18:00:08,2026-01-15 18:00:08
58,TEC GAS,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,900.0,2026-01-15 18:00:08,2026-01-15 18:00:08
59,ALFA LAVAL,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,1950.0,2026-01-15 18:00:08,2026-01-15 18:00:08
60,MENDES HOLLER,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,11346.0,2026-01-15 18:00:08,2026-01-15 18:00:08
61,ZENITH,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,15750.0,2026-01-15 18:00:08,2026-01-15 18:00:08
62,JPX,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,18100.0,2026-01-15 18:00:08,2026-01-15 18:00:08
63,JPX,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,1523.0,2026-01-15 18:00:08,2026-01-15 18:00:08
64,MEGA,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,616.0,2026-01-15 18:00:08,2026-01-15 18:00:08
65,BETAWORKS,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,845.0,2026-01-15 18:00:08,2026-01-15 18:00:08
68,JVC,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,2080.0,2026-01-15 18:00:08,2026-01-15 18:00:08
72,TOPFLOW,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,1212.9,2026-01-15 18:00:08,2026-01-15 18:00:08
73,CONSORCIO ROTARIA MCA -,ARTHUR,2026-01-06,,,False,0,0,ORCAMENTO,5600.0,2026-01-15 18:00:08,2026-01-15 18:00:08
74,ACOFOR,MARILENE,2026-01-07,2026-01-07,,True,2,2,PEDIDO,4070.0,2026-01-15 18:00:08,2026-01-15 18:00:08
75,ALMAD -,ARTHUR,2026-01-07,,,False,0,0,ORCAMENTO,3786.0,2026-01-15 18:00:08,2026-01-15 18:00:08
76,BETAWORKS,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,6630.0,2026-01-15 18:00:08,2026-01-15 18:00:08
78,BETAWORKS,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,2515.8,2026-01-15 18:00:08,2026-01-15 18:00:08
79,ACEPIL,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,12660.0,2026-01-15 18:00:08,2026-01-15 18:00:08
80,LTR,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,16860.0,2026-01-15 18:00:08,2026-01-15 18:00:08
81,LYOTECH,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,2812.1,2026-01-15 18:00:08,2026-01-15 18:00:08
82,,,,2026-01-07,,False,0,0,PEDIDO,8190.0,2026-01-15 18:00:08,2026-01-15 18:00:08
83,WORTEC,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,3636.0,2026-01-15 18:00:08,2026-01-15 18:00:08
85,FRANIK,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,2852.85,2026-01-15 18:00:08,2026-01-15 18:00:08
87,FRANIK,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,886.6,2026-01-15 18:00:08,2026-01-15 18:00:08
88,GRADIAL,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,1072.5,2026-01-15 18:00:08,2026-01-15 18:00:08
90,GD MANUTENÇÃO,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,3625.0,2026-01-15 18:00:08,2026-01-15 18:00:08
91,ACEPIL,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,902.4,2026-01-15 18:00:08,2026-01-15 18:00:08
92,CIRCULO MILITAR,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,3200.0,2026-01-15 18:00:08,2026-01-15 18:00:08
93,,,2026-01-08,,,False,0,0,ORCAMENTO,395.0,2026-01-15 18:00:08,2026-01-15 18:00:08
94,HIDROTUBE,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,754.0,2026-01-15 18:00:08,2026-01-15 18:00:08
95,ACEPIL,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,6120.0,2026-01-15 18:00:08,2026-01-15 18:00:08
96,MFM FSANTOS,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,38685.0,2026-01-15 18:00:08,2026-01-15 18:00:08
97,RIMAR,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,1156.0,2026-01-15 18:00:08,2026-01-15 18:00:08
98,MAGSTEEL,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,624.0,2026-01-15 18:00:08,2026-01-15 18:00:08
99,ACEPIL,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,468.0,2026-01-15 18:00:08,2026-01-15 18:00:08
100,TERMOFILTRO,CARLA,2026-01-08,2026-01-19,2026-01-20,False,0,0,FATURADO,2430.0,2026-01-15 18:00:08,2026-01-21 16:59:32
102,VIBROPAC,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,720.85,2026-01-15 18:00:08,2026-01-15 18:00:08
104,NEPIN,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,2290.51,2026-01-15 18:00:08,2026-01-15 18:00:08
105,ACEPIL,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,3120.0,2026-01-15 18:00:08,2026-01-15 18:00:08
106,NOVA OPÇÃO,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,4000.0,2026-01-15 18:00:08,2026-01-15 18:00:08
108,CBV -,ARTHUR,2026-01-08,,,True,1,1,ORCAMENTO,3480.0,2026-01-15 18:00:08,2026-01-15 18:00:08
109,AIR PRODUCTS,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,6800.0,2026-01-15 18:00:08,2026-01-15 18:00:08
110,EMG,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,1132.0,2026-01-15 18:00:08,2026-01-15 18:00:08
114,AC AUTOMAÇÃO INDPARTS,MARILENE,2026-01-09,,,False,0,0,ORCAMENTO,5008.0,2026-01-15 18:00:08,2026-01-15 18:00:08
115,ASSISTECH,MARILENE,2026-01-09,,,True,1,1,ORCAMENTO,15838.0,2026-01-15 18:00:08,2026-01-15 18:00:08
116,GENSETEC -,ARTHUR,2026-01-09,,,False,0,0,ORCAMENTO,3074.0,2026-01-15 18:00:08,2026-01-15 18:00:08
119,ONSTOQ SERVICOS -,ARTHUR,2026-01-09,,,False,0,0,ORCAMENTO,12600.0,2026-01-15 18:00:08,2026-01-15 18:00:08
120,CBV,CARLA,2026-01-09,,,False,0,0,ORCAMENTO,12660.0,2026-01-15 18:00:08,2026-01-15 18:00:08
124,TOPFLOW,CARLA,2026-01-09,,,False,0,0,ORCAMENTO,420.55,2026-01-15 18:00:08,2026-01-15 18:00:08
126,IRON TEC,MARILENE,2026-01-12,,,False,0,0,ORCAMENTO,15838.0,2026-01-15 18:00:08,2026-01-15 18:00:08
131,TOPFLOW,CARLA,2026-01-12,,,False,0,0,ORCAMENTO,79266.0,2026-01-15 18:00:08,2026-01-15 18:00:08
132,RESECO,CARLA,2026-01-12,2026-01-19,2026-01-19,False,0,0,FATURADO,498.0,2026-01-15 18:00:08,2026-01-21 16:59:32
134,BETAWORKS,CARLA,2026-01-12,,,False,0,0,ORCAMENTO,796.25,2026-01-15 18:00:08,2026-01-15 18:00:08
135,CBV,CARLA,2026-01-12,,,False,0,0,ORCAMENTO,1119.6,2026-01-15 18:00:08,2026-01-15 18:00:08
137,ATTC,CARLA,2026-01-12,2026-01-21,2026-01-21,False,0,0,FATURADO,347.1,2026-01-15 18:00:08,2026-01-21 16:59:32
138,BRS,CARLA,2026-01-12,,,False,0,0,ORCAMENTO,420.0,2026-01-15 18:00:08,2026-01-15 18:00:08
139,MAGNESITA,MARILENE,2026-01-12,,,False,0,0,ORCAMENTO,1023.0,2026-01-15 18:00:08,2026-01-15 18:00:08
141,NALUSI,MARILENE,2026-01-12,,,False,0,0,ORCAMENTO,2534.0,2026-01-15 18:00:08,2026-01-15 18:00:08
145,ALJAVA,CARLA,2026-01-12,2026-01-15,2026-01-16,False,0,0,FATURADO,4137.0,2026-01-15 18:00:08,2026-01-16 16:53:26
146,IND FRIG BOA CARNE,CARLA,2026-01-12,,,True,1,1,ORCAMENTO,2774.0,2026-01-15 18:00:08,2026-01-15 18:00:08
147,CML ELETRICA PJ,CARLA,2026-01-12,,,False,0,0,ORCAMENTO,2032.0,2026-01-15 18:00:08,2026-01-15 18:00:08
148,ASSISTECAL,CARLA,2026-01-13,2026-01-16,2026-01-16,False,0,0,FATURADO,614.0,2026-01-15 18:00:08,2026-01-16 16:53:26
149,ACEPIL,CARLA,2026-01-13,,,False,0,0,ORCAMENTO,2632.2,2026-01-15 18:00:08,2026-01-15 18:00:08
150,ACEPIL,CARLA,2026-01-13,,,False,0,0,ORCAMENTO,2368.8,2026-01-15 18:00:08,2026-01-15 18:00:08
152,,,,2026-01-13,,False,0,0,PEDIDO,30320.0,2026-01-15 18:00:08,2026-01-15 18:00:08
154,BLUVAL -,ARTHUR,2026-01-13,,,False,0,0,ORCAMENTO,53524.0,2026-01-15 18:00:08,2026-01-15 18:00:08
155,INMAR,MARILENE,2026-01-13,2026-01-19,2026-01-20,False,0,0,FATURADO,8220.0,2026-01-15 18:00:08,2026-01-21 16:59:32
156,NEPIN,CARLA,2026-01-13,,,False,0,0,ORCAMENTO,10879.38,2026-01-15 18:00:08,2026-01-15 18:00:08
158,MENKAR,MARILENE,2026-01-13,,,False,0,0,ORCAMENTO,14897.0,2026-01-15 18:00:08,2026-01-15 18:00:08
159,BVI,MARILENE,2026-01-13,2026-01-15,2026-01-16,False,0,0,FATURADO,4688.0,2026-01-15 18:00:08,2026-01-16 16:53:26
160,BVI,MARILENE,2026-01-13,,,False,0,0,ORCAMENTO,3196.0,2026-01-15 18:00:08,2026-01-15 18:00:08
161,BVI,MARILENE,2026-01-13,2026-01-16,2026-01-16,False,0,0,FATURADO,650.0,2026-01-15 18:00:08,2026-01-16 16:53:26
162,BVI,MARILENE,2026-01-13,,,False,0,0,ORCAMENTO,12000.0,2026-01-15 18:00:08,2026-01-15 18:00:08
163,ACEPIL,CARLA,2026-01-13,,,False,0,0,ORCAMENTO,37890.0,2026-01-15 18:00:08,2026-01-15 18:00:08
164,TYPE COMERCIO,MARILENE,2026-01-13,,,False,0,0,ORCAMENTO,22500.0,2026-01-15 18:00:08,2026-01-15 18:00:08
167,ACEPIL,CARLA,2026-01-13,,,False,0,0,ORCAMENTO,16464.0,2026-01-15 18:00:08,2026-01-15 18:00:08
168,LEO VALVULAS,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,3560.0,2026-01-15 18:00:08,2026-01-15 18:00:08
169,EFATA,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,1706.0,2026-01-15 18:00:08,2026-01-15 18:00:08
170,NEOLIDER,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,8804.0,2026-01-15 18:00:08,2026-01-15 18:00:08
171,VAPOR TOTAL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,2636.0,2026-01-15 18:00:08,2026-01-15 18:00:08
172,DINAMICA,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,34747.5,2026-01-15 18:00:08,2026-01-15 18:00:08
173,HIDRAUPAC,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,8274.0,2026-01-15 18:00:08,2026-01-15 18:00:08
174,CBV,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,339.0,2026-01-15 18:00:08,2026-01-15 18:00:08
175,ACEPIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,266.4,2026-01-15 18:00:08,2026-01-15 18:00:08
176,RENOVENT,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,255.0,2026-01-15 18:00:08,2026-01-15 18:00:08
177,ACEPIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,267000.0,2026-01-15 18:00:08,2026-01-15 18:00:08
178,ACEPIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,1242.0,2026-01-15 18:00:08,2026-01-15 18:00:08
179,DILEVAL,ROMULO,2026-01-14,,,False,0,0,ORCAMENTO,12662.0,2026-01-15 18:00:08,2026-01-15 18:00:08
180,CB CAMPINAS,MARILENE,2026-01-14,2026-01-21,2026-01-21,False,0,0,FATURADO,1423.0,2026-01-15 18:00:08,2026-01-21 16:59:32
181,,,,2026-01-14,,False,0,0,PEDIDO,13200.0,2026-01-15 18:00:08,2026-01-15 18:00:08
182,SUZUKI,MARILENE,2026-01-14,2026-01-16,2026-01-19,False,0,0,FATURADO,546.0,2026-01-15 18:00:08,2026-01-21 16:59:32
183,FILMACH,MARILENE,2026-01-14,2026-01-21,,False,0,0,PEDIDO,6584.0,2026-01-15 18:00:08,2026-01-21 16:59:32
184,CBV,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,607.8,2026-01-15 18:00:08,2026-01-15 18:00:08
186,PROLUMINAS,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,3300.0,2026-01-15 18:00:08,2026-01-15 18:00:08
187,ZARAPLAST,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,2800.0,2026-01-15 18:00:08,2026-01-15 18:00:08
188,DINAMICA,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,6675.0,2026-01-15 18:00:08,2026-01-15 18:00:08
189,ACEPIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,359.4,2026-01-15 18:00:08,2026-01-15 18:00:08
190,LEO VALVULAS,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,2576.0,2026-01-15 18:00:08,2026-01-15 18:00:08
191,VALFLAN,ROMULO,2026-01-14,,,False,0,0,ORCAMENTO,1911.0,2026-01-15 18:00:08,2026-01-15 18:00:08
192,ACEPIL,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,2124.0,2026-01-15 18:00:08,2026-01-15 18:00:08
193,VALCONCIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,19466.0,2026-01-15 18:00:08,2026-01-15 18:00:08
195,AGROINDUSTRIAL DALLA,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,2130.0,2026-01-15 18:00:08,2026-01-15 18:00:08
196,VELTHA,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,3323.0,2026-01-15 18:00:08,2026-01-15 18:00:08
198,NETZSCH,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,8505.0,2026-01-15 18:00:08,2026-01-15 18:00:08
200,VEDAFORT,ROMULO,2026-01-14,,,False,0,0,ORCAMENTO,5856.0,2026-01-15 18:00:08,2026-01-15 18:00:08
201,OPEN,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,4390.0,2026-01-15 18:00:08,2026-01-15 18:00:08
202,ARS,MARILENE,2026-01-14,,,False,0,0,ORCAMENTO,3394.0,2026-01-15 18:00:08,2026-01-15 18:00:08
207,ACEPIL,CARLA,2026-01-14,,,False,0,0,ORCAMENTO,780.0,2026-01-15 18:00:08,2026-01-15 18:00:08
209,ACEPIL,MARILENE,2026-01-14,2026-01-20,2026-01-20,False,0,0,FATURADO,340.2,2026-01-15 18:00:08,2026-01-21 16:59:32
210,AEF,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,6230.0,2026-01-15 18:00:08,2026-01-15 18:00:08
211,VEOLIA -,ARTHUR,2026-01-15,,,False,0,0,ORCAMENTO,947.0,2026-01-15 18:00:08,2026-01-15 18:00:08
212,BLUVAL -,ARTHUR,2026-01-15,,,False,0,0,ORCAMENTO,4728.0,2026-01-15 18:00:08,2026-01-15 18:00:08
213,PRIMASERRA,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,1008.0,2026-01-15 18:00:08,2026-01-15 18:00:08
214,,,2026-01-15,,,False,0,0,ORCAMENTO,0.0,2026-01-15 18:00:08,2026-01-15 18:00:08
215,ACEPIL,MARILENE,2026-01-15,,,False,0,0,ORCAMENTO,469.2,2026-01-15 18:00:08,2026-01-15 18:00:08
216,ASTER,CARLA,2026-01-15,2026-01-19,2026-01-20,False,0,0,FATURADO,3700.0,2026-01-15 18:00:08,2026-01-21 16:59:32
217,VANASA -,ARTHUR,2026-01-15,2026-01-20,,False,0,0,PEDIDO,9000.0,2026-01-15 18:00:08,2026-01-21 16:59:32
218,PIVODRIP,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,2450.0,2026-01-15 18:00:08,2026-01-15 18:00:08
219,JDC,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,1632.0,2026-01-15 18:00:08,2026-01-15 18:00:08
220,ACEPIL,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,816.0,2026-01-15 18:00:08,2026-01-15 18:00:08
221,GRADIAL,ROMULO,2026-01-15,,,False,0,0,ORCAMENTO,5600.0,2026-01-15 18:00:08,2026-01-15 18:00:08
222,A SEMOL,MARILENE,2026-01-15,,,False,0,0,ORCAMENTO,12000.0,2026-01-15 18:00:08,2026-01-15 18:00:08
223,EMBRAPAC,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,696.0,2026-01-15 18:00:08,2026-01-15 18:00:08
224,AR FILTRO,MARILENE,2026-01-15,,,False,0,0,ORCAMENTO,16940.0,2026-01-15 18:00:08,2026-01-15 18:00:08
225,FALANGA,ROMULO,2026-01-15,,,False,0,0,ORCAMENTO,288.0,2026-01-15 18:00:08,2026-01-15 18:00:08
226,NEPIN,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,2305.45,2026-01-15 18:00:08,2026-01-15 18:00:08
227,ACEPIL,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,609.6,2026-01-15 18:00:08,2026-01-15 18:00:08
228,ACEPIL,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,12798.0,2026-01-15 18:00:08,2026-01-15 18:00:08
229,LEO VALVULAS,ROMULO,2026-01-15,,,False,0,0,ORCAMENTO,2085.0,2026-01-15 18:00:08,2026-01-15 18:00:08
230,ACEPIL,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,3184.0,2026-01-15 18:00:08,2026-01-15 18:00:08
231,HANTECH,MARILENE,2026-01-15,2026-01-19,,False,0,0,PEDIDO,2794.0,2026-01-15 18:00:08,2026-01-21 16:59:32
232,NOFOR,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,17355.0,2026-01-15 18:00:08,2026-01-15 18:00:08
233,BOMAFA,MARILENE,2026-01-15,,,False,0,0,ORCAMENTO,1422.0,2026-01-15 18:00:08,2026-01-15 18:00:08
234,BVI,ROMULO,2026-01-15,,,False,0,0,ORCAMENTO,3330.0,2026-01-15 18:00:08,2026-01-15 18:00:08
235,,,,2026-01-15,2026-01-16,False,0,0,FATURADO,717.6,2026-01-15 18:00:08,2026-01-16 16:53:26
236,ACEPIL,CARLA,2026-01-15,,,False,0,0,ORCAMENTO,398.0,2026-01-15 18:00:08,2026-01-15 18:00:08
238,FLUID FEEDER,MARILENE,2026-01-15,,,False,0,0,ORCAMENTO,445.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5848,,,,2026-01-05,2026-01-05,False,0,0,FATURADO,2567.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5907,,,,2026-01-05,2026-01-05,False,0,0,FATURADO,3612.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5909,,,,2026-01-05,2026-01-05,False,0,0,FATURADO,3040.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5912,,,,2026-01-05,2026-01-05,False,0,0,FATURADO,1380.0,2026-01-15 18:00:08,2026-01-15 18:00:08
21,ALMEIDA E LIMA,MARILENE,2026-01-05,2026-01-05,2026-01-05,False,0,0,FATURADO,1245.0,2026-01-15 18:00:08,2026-01-15 18:00:08
25,WALLPETRO,MARILENE,2026-01-05,2026-01-05,2026-01-05,False,0,0,FATURADO,2172.0,2026-01-15 18:00:08,2026-01-15 18:00:08
31,SEW EURODRIVE,MARILENE,2026-01-05,2026-01-05,2026-01-05,False,0,0,FATURADO,1327.0,2026-01-15 18:00:08,2026-01-15 18:00:08
